Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Month,Market size,Growth Rate,Revenue,profit,Market share,Daily growth rate
AAPL,07-02-2023,150.6399994,155.2299957,150.6399994,154.6499939,154.4142303,83322600,2,12885839581,12.23408611,12885839581,334123168.3,2.229341337,-1.765273738
AAPL,08-02-2023,153.8800049,154.5800018,151.1699982,151.9199982,151.6884003,64120100,2,9741125475,16.1047977,9741125475,-125675826.5,4.356514247,-0.691155256
AAPL,09-02-2023,153.7799988,154.3300018,150.4199982,150.8699951,150.6399994,56007100,2,8449790904,-11.07315087,8449790904,-162980866.1,20.76589157,0.09279472
AAPL,10-02-2023,149.4600067,151.3399963,149.2200012,151.0099945,151.0099945,57450700,2,8675629891,-1.689193412,8675629891,89047883.7,4.373951527,1.880677902
AAPL,13-02-2023,150.9499969,154.2599945,150.9199982,153.8500061,153.8500061,62199000,2,9569316530,,9569316530,180377669.4,,-0.422495372
AAPL,14-02-2023,152.1199951,153.7700043,150.8600006,153.1999969,153.1999969,61707600,2,9453604132,,9453604132,66644320.99,,1.39034264
AAPL,15-02-2023,153.1100006,155.5,152.8800049,155.3300018,155.3300018,65573800,2,10185578474,,10185578474,145573916,,-1.04293768
AAPL,16-02-2023,153.5099945,156.3300018,153.3500061,153.7100067,153.7100067,68167900,2,10478088367,,10478088367,13634412.13,,-0.754670231
AAPL,17-02-2023,152.3500061,153,150.8500061,152.5500031,152.5500031,59144100,2,9022432635,,9022432635,11828639.51,,-2.66798246
AAPL,21-02-2023,150.1999969,151.3000031,148.4100037,148.4799957,148.4799957,58867200,2,8740601604,,8740601604,-101251655.9,,0.289606645
AAPL,22-02-2023,148.8699951,149.9499969,147.1600037,148.9100037,148.9100037,51011300,2,7596092870,,7596092870,2040887.888,,0.329051254
AAPL,23-02-2023,150.0899963,150.3399963,147.2400055,149.3999939,149.3999939,48394200,2,7230093185,,7230093185,-33392116.15,,-1.80052697
AAPL,24-02-2023,147.1100006,147.1900024,145.7200012,146.7100067,146.7100067,55469600,2,8137945388,,8137945388,-22187501.44,,0.82475046
AAPL,27-02-2023,147.7100067,149.1699982,147.4499969,147.9199982,147.9199982,44998500,2,6656178038,,6656178038,9449300.491,,-0.344777253
AAPL,28-02-2023,147.0500031,149.0800018,146.8300018,147.4100037,147.4100037,50547000,2,7451133455,,7451133455,18196950.85,,-1.424602165
AAPL,01-03-2023,146.8300018,147.2299957,145.0099945,145.3099976,145.3099976,55479000,3,8061653355,,8061653355,-84328317.03,,0.412914537
AAPL,02-03-2023,144.3800049,146.7100067,143.8999939,145.9100037,145.9100037,52238100,3,7622061362,,7622061362,79924229.23,,3.50900897
AAPL,03-03-2023,148.0399933,151.1100006,147.3300018,151.0299988,151.0299988,70732300,3,10682699183,,10682699183,211489965.5,,1.85393834
AAPL,06-03-2023,153.7899933,156.3000031,153.4600067,153.8300018,153.8300018,87558000,3,13469047300,,13469047300,3503068.176,,-1.449649419
AAPL,07-03-2023,153.6999969,154.0299988,151.1300049,151.6000061,151.6000061,56182000,3,8517191543,,8517191543,-117981685.6,,0.83772359
AAPL,08-03-2023,152.8099976,153.4700012,151.8300018,152.8699951,152.8699951,47204800,3,7216197546,,7216197546,2832172.754,,-1.491462584
AAPL,09-03-2023,153.5599976,154.5399933,150.2299957,150.5899963,150.5899963,53833600,3,8106801627,,8106801627,-159885857.7,,-1.387871963
AAPL,10-03-2023,150.2100067,150.9400024,147.6100006,148.5,148.5,68572400,3,10183001400,,10183001400,-117259264.4,,1.326600149
AAPL,13-03-2023,147.8099976,153.1399994,147.6999969,150.4700012,150.4700012,84457100,3,12708259940,,12708259940,224656195.3,,1.408915465
AAPL,14-03-2023,151.2799988,153.3999939,150.1000061,152.5899963,152.5899963,73695900,3,11245257111,,11245257111,96541449.08,,0.262146382
AAPL,15-03-2023,151.1900024,153.25,149.9199982,152.9900055,152.9900055,77167900,3,11805917445,,11805917445,138902455.5,,1.869403561
AAPL,16-03-2023,152.1600037,156.4600067,151.6399994,155.8500061,155.8500061,76161100,3,11869707900,,11869707900,281034644.9,,-0.545400109
AAPL,17-03-2023,156.0800018,156.7400055,154.2799988,155,155,98944600,3,15336413000,,15336413000,-106860349.2,,1.548383159
AAPL,20-03-2023,155.0700073,157.8200073,154.1499939,157.3999939,157.3999939,73641400,3,11591155911,,11591155911,171583473.2,,1.194412297
AAPL,21-03-2023,157.3200073,159.3999939,156.5399933,159.2799988,159.2799988,73938300,3,11776892334,,11776892334,144918436.2,,-0.910344651
AAPL,22-03-2023,159.3000031,162.1399994,157.8099976,157.8300018,157.8300018,75701800,3,11948015233,,11948015233,-111281738.4,,0.696946608
AAPL,23-03-2023,158.8300018,161.5500031,157.6799927,158.9299927,158.9299927,67622100,3,10747179858,,10747179858,6761590.901,,0.830558979
AAPL,24-03-2023,158.8600006,160.3399963,157.8500061,160.25,160.25,59196500,3,9486239125,,9486239125,82283098.87,,-1.229329935
AAPL,27-03-2023,159.9400024,160.7700043,157.8699951,158.2799988,158.2799988,52390300,3,8292336620,,8292336620,-86968089.86,,-0.398031898
AAPL,28-03-2023,157.9700012,158.4900055,155.9799957,157.6499939,157.6499939,45992200,3,7250670049,,7250670049,-14717840.86,,1.979074213
AAPL,29-03-2023,159.3699951,161.0500031,159.3500061,160.7700043,160.7700043,51305700,3,8248417608,,8248417608,71828449.72,,0.988988179
AAPL,30-03-2023,161.5299988,162.4700012,161.2700043,162.3600006,162.3600006,49501700,3,8037096042,,8037096042,41086501.64,,1.564420594
AAPL,31-03-2023,162.4400024,165,161.9100037,164.8999939,164.8999939,68749800,3,11336841600,,11336841600,169123920.5,,0.770166355
AAPL,03-04-2023,164.2700043,166.2899933,164.2200012,166.1699982,166.1699982,56976200,4,9467735050,,9467735050,108254432.2,,-0.324964369
AAPL,04-04-2023,166.6000061,166.8399963,165.1100006,165.6300049,165.6300049,46278300,4,7665075055,,7665075055,-44890007.49,,-1.129028751
AAPL,05-04-2023,164.7400055,165.0500031,161.8000031,163.7599945,163.7599945,51511700,4,8435555709,,8435555709,-50482031.92,,0.549590367
AAPL,06-04-2023,162.4299927,164.9600067,162,164.6600037,164.6600037,45390100,4,7473934032,,7473934032,101220421.7,,-1.597233587
AAPL,10-04-2023,161.4199982,162.0299988,160.0800018,162.0299988,162.0299988,47716900,4,7731569249,,7731569249,29107338.12,,-0.759116051
